"estado","authority_level","document_count","unique_types","date_range"
"FEDERAL","federal",94725,4,"1841-12-20 to 2025-07-17"
"BR","federal",13536,5,"1829-01-01 to 2025-01-01"
"BR","municipal",5280,2,"1937-02-20 to 2025-06-24"
"SP","federal",5053,2,"1851-04-07 to 2025-07-16"
"MG","federal",4970,5,"1835-03-28 to 2025-07-17"
"SP","municipal",3177,2,"1890-11-09 to 2025-06-12"
"DF","federal",2993,4,"1960-05-10 to 2023-01-31"
"MG","municipal",1768,1,"1909-07-24 to 2025-07-08"
"SC","federal",503,3,"1947-10-24 to 2024-01-31"
"AM","federal",170,2,"1950-06-15 to 2025-05-19"
"RR","municipal",119,1,"1982-05-04 to 2025-05-14"
"SC","municipal",88,1,"1969-02-27 to 2018-12-19"
"SE","municipal",60,1,"1948-12-22 to 2024-07-19"
"MT","municipal",56,1,"1993-11-01 to 2025-06-05"
"RJ","federal",51,3,"1992-01-01 to 2018-01-01"
"AL","federal",25,1,"1969-03-27 to 2017-09-04"
"RS","federal",16,3,"1965-01-01 to 2021-01-01"
"PA","federal",12,2,"2003-01-01 to 2019-01-01"
"MA","federal",11,2,"2010-01-01 to 2021-01-01"
"ES","federal",10,2,"1995-01-01 to 2016-01-01"
"MT","federal",8,3,"2007-01-01 to 2018-01-01"
"CE","federal",7,1,"1999-01-01 to 2010-01-01"
"PE","federal",7,2,"1978-01-01 to 2020-01-01"
"PR","federal",7,1,"1998-01-01 to 2018-01-01"
"BA","federal",6,2,"2003-01-01 to 2022-01-01"
"AP","federal",4,2,"2012-01-01 to 2021-01-01"
"PI","federal",4,1,"2012-01-01 to 2017-01-01"
"GO","federal",3,2,"2008-01-01 to 2021-01-01"
"SE","federal",3,1,"2001-01-01 to 2020-01-01"
"TO","federal",3,1,"2012-01-01 to 2019-01-01"
"RN","federal",2,1,"2009-01-01 to 2012-01-01"
"RR","federal",2,2,"2021-01-01 to 2021-01-01"
"AC","federal",1,1,"2004-01-01 to 2004-01-01"
"RO","federal",1,1,"2021-01-01 to 2021-01-01"
