search_term,date_searched,url,title,urn
transporte de carga,2025-06-06 12:27:31,https://www.lexml.gov.br/urn/urn:lex:br:congresso.nacional:medida.provisoria;mpv:2018-05-27;833,MPV 833/2018,urn:lex:br:congresso.nacional:medida.provisoria;mpv:2018-05-27;833
transporte de carga,2025-06-06 12:27:31,https://www.lexml.gov.br/urn/urn:lex:br:congresso.nacional:medida.provisoria;mpv:2018-05-27;832,MPV 832/2018,urn:lex:br:congresso.nacional:medida.provisoria;mpv:2018-05-27;832
transporte rodoviário de carga,2025-06-06 12:27:34,https://www.lexml.gov.br/urn/urn:lex:br:federal:decreto:1976-06-09;77789,"Decreto nº 77.789, de 9 de Junho de 1976",urn:lex:br:federal:decreto:1976-06-09;77789
transporte rodoviário de carga,2025-06-06 12:27:34,https://www.lexml.gov.br/urn/urn:lex:br:federal:decreto:1983-10-06;88821,"Decreto nº 88.821, de 6 de Outubro de 1983",urn:lex:br:federal:decreto:1983-10-06;88821
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;itabirito:municipal:lei:2008-12-05;2708,"Lei n° 2708, de 05 de Dezembro de 2008",urn:lex:br;minas.gerais;itabirito:municipal:lei:2008-12-05;2708
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo:estadual:decreto:2014-05-26;60491,"Decreto nº 60.491, de 26/05/2014",urn:lex:br;sao.paulo:estadual:decreto:2014-05-26;60491
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;justica.trabalho;regiao.16:tribunal.regional.trabalho;turma.1:acordao:2010-02-03;0038500-46.2008.5.16.0015,ACORDÃO TRT 16ª / 1ª Turma / RO 0038500-46.2008.5.16.0015,urn:lex:br;justica.trabalho;regiao.16:tribunal.regional.trabalho;turma.1:acordao:2010-02-03;0038500-46.2008.5.16.0015
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2013;1001010435,A navegação de cabotagem no Brasil,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2013;1001010435
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;justica.trabalho;regiao.1:tribunal.regional.trabalho;turma.6:acordao:2015-11-19;00008058020145010301,ACÓRDÃO TRT 1ª / 6ª Turma / 0000805-80.2014.5.01.0301 - DOERJ 19-11-2015,urn:lex:br;justica.trabalho;regiao.1:tribunal.regional.trabalho;turma.6:acordao:2015-11-19;00008058020145010301
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;rio.grande.sul;bento.goncalves:camara.municipal:resolucao:2015-10-28;166,"RESOLUÇÃO n° 166, de 28 de Outubro de 2015",urn:lex:br;rio.grande.sul;bento.goncalves:camara.municipal:resolucao:2015-10-28;166
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;rio.grande.sul;vespasiano.correa:municipal:lei:2011-04-04;15,"Lei Municipal nº 15, de 04 de abril de 2011",urn:lex:br;rio.grande.sul;vespasiano.correa:municipal:lei:2011-04-04;15
