titulo,tipo,data,urn,autor,assuntos,classificacao,jurisdicao,autoridade,ementa,url,localidade,numero,ano,termo_busca,data_coleta,origem,categoria,modal,pais,estado,municipio,fontes_localizacao
Agências Reguladoras de Transportes (ANTTe ANTAQ) e DNIT,Livro,2021-01-01,,Nakamura,"Autor: Nakamura, André Luiz dos Santos; Agência reguladora, legislação, Brasil. Agência reguladora, competência, Brasil. Transporte, regulação, Brasil.; Classificação: DIREITO PÚBLICO - 341::DIREITO ADMINISTRATIVO - 341.3::Serviços Públicos - 341.32::Execução Indireta. Órgãos da Administração indireta - 341.322::Agências Reguladoras - 341.3221",,,,,,,,,ANTT,2025-07-22 00:37:06,extração_principal,Doutrina,geral,Brasil,,,
Agências irmãs? Semelhanças e diferenças na institucionalização via mudança institucional das ouvidorias daANTTe da Antaq,Artigo de revista,2017-01-01,,Miranda,"Autor: Miranda, Luciana de Oliveira; Ouvidoria, Brasil.; Classificação: DIREITO PÚBLICO - 341::DIREITO ADMINISTRATIVO - 341.3::Serviços Públicos - 341.32",,,,,,,,,ANTT,2025-07-22 00:37:06,extração_principal,Doutrina,geral,Brasil,,,
Da ilegalidade da taxa de fiscalização daANTTinstituída pela Lei nº 10.233/2001 e pela Resolução nº 4.936/2015 frente aos mandamentos constitucionais e ao Código tributário nacional,Artigo de revista,2017-01-01,urn:lex:br:federal:lei:2017-01-01;10,Bortoli,"Autor: Bortoli, Igor Monteiro de; Competência tributária, Brasil. {Competência tributária; Competência (direito tributário); Competência fiscal} Poder de polícia, natureza fiscal, Brasil. Sistema tributário, aspectos constitucionais, Brasil. {Sistema tributário; Sistema tributário nacional} Transporte rodoviário, fiscalização, taxas, cobrança, Brasil. Transporte rodoviário, fiscalização, taxas, legislação, Brasil. Transporte rodoviário, fiscalização, taxas, aspectos constitucionais, Brasil. Competência tributária, Brasil. {Competência tributária; Competência (direito tributário); Competência fiscal} Poder de polícia, natureza fiscal, Brasil. Sistema tributário, aspectos constitucionais, Brasil. {Sistema tributário; Sistema tributário nacional} Transporte rodoviário, fiscalização, taxas, cobrança, Brasil. Transporte rodoviário, fiscalização, taxas, legislação, Brasil. Transporte rodoviário, fiscalização, taxas, aspectos constitucionais, Brasil.; Classificação: DIREITO PÚBLICO - 341::DIREITO ADMINISTRATIVO - 341.3::Direito Tributário - 341.39",Legislação,,,,,,,,ANTT,2025-07-22 00:37:06,extração_principal,Legislação,rodoviário,Brasil,,,
"Decreto nº 4.130, de 13 de Fevereiro de 2002",,2002-02-13,urn:lex:br:federal:decreto:2002-02-13;4130,AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES,"APROVAÇÃO ,  ORGANIZAÇÃO ADMINISTRATIVA ,  QUADRO DEMONSTRATIVO ,  CARGO EM COMISSÃO ,  AMBITO ,  AGENCIA NACIONAL ,  TRANSPORTE TERRESTRE ,  AGENCIA NACIONAL DE TRANSPORTES TERRESTRES (ANTT) .",Legislação,Federal,,"Aprova o Regulamento e o Quadro Demonstrativo dos Cargos Comissionados e dos Cargos Comissionados Técnicos da Agência Nacional de Transportes Terrestres -ANTT, e dá outras providências.",,,,,ANTT,2025-07-22 00:37:06,extração_principal,Legislação,rodoviário,Brasil,Federal,,jurisdicao_federal
"Decreto nº 7.703, de 20 de Março de 2012",,2012-03-20,urn:lex:br:federal:decreto:2012-03-20;7703,AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES,"ALTERAÇÃO ,  REGULAMENTO ADMINISTRATIVO ,  POSSIBILIDADE ,  MINISTRO DE ESTADO ,  ESTADO DE MATO GROSSO (MT) ,  INDICAÇÃO ,  SERVIDOR ,  INTERINIDADE ,  DIRETORIA ,  AGENCIA NACIONAL DE TRANSPORTES TERRESTRES (ANTT) .",Legislação,Federal,,"Altera o Decreto nº 4.130, de 13 de fevereiro de 2002, que aprova o Regulamento e o Quadro Demonstrativo dos Cargos Comissionados e dos Cargos Comissionados Técnicos da Agência Nacional de Transportes Terrestres -ANTT.",,,,,ANTT,2025-07-22 00:37:06,extração_principal,Legislação,rodoviário,Brasil,Federal,,jurisdicao_federal
Portaria nº 414 de 29-12-2005,,2005-12-29,urn:lex:br:ministerio.planejamento.orcamento.gestao:portaria:2005-12-29;414,AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES,Agência Nacional de Transportes Terrestres -ANTT. Concurso Público. Nomeação. Provimento.,Legislação,Federal,,"Autoriza a nomeação de noventa e oito candidatos aprovados no concurso público a que se refere a autorização contida na Portaria MP nº 296, de 22 de novembro de 2004, realizado pela Agência Nacional de Transportes Terrestres -ANTT.",,,,,ANTT,2025-07-22 00:37:06,extração_principal,Legislação,rodoviário,Brasil,Federal,,jurisdicao_federal
Portaria nº 296 de 22-11-2004,,2004-11-22,urn:lex:br:ministerio.planejamento.orcamento.gestao:portaria:2004-11-22;296,AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES,Agência Nacional de Transportes Terrestres -ANTT. Autorização. Autorização para Realização de Concurso Público. Concurso Público. Provimento. provimento de cargo público.,,Federal,,Autoria a realização de concurso público e o provimento de quinhentos e trinta e quatro cargos do Quadro de Pessoal da Agência Nacional de Transportes Terrestres -ANTT.,,,,,ANTT,2025-07-22 00:37:06,extração_principal,Legislação,rodoviário,Brasil,Federal,,jurisdicao_federal
Portaria nº 369 de 21-10-2013,,2013-10-21,urn:lex:br:ministerio.planejamento.orcamento.gestao:portaria:2013-10-21;369,AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES,Agência Nacional de Transportes Terrestres -ANTT. Atos de Provimento. Provimento. provimento de cargo público. Provimento de Cargos.,,Federal,,"Autoriza o provimento de cento e trinta e cinco (135) cargos do quadro de pessoal efetivo da Agência Nacional de Transportes Terrestres -ANTT, no concurso público cuja realização foi autorizada pela Portaria MP nº 581, de 29 de novembro de 2012, publicada no Diário Oficial da União de 30 de novembro de 2012, conforme discriminado no Anexo.",,,,,ANTT,2025-07-22 00:37:06,extração_principal,Legislação,rodoviário,Brasil,Federal,,jurisdicao_federal
Decreto Legislativo nº 1 de 29/02/2024,,2024-02-29,urn:lex:br:federal:decreto.legislativo:2024-02-29;1,AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES,"DESBLOQUEIO ,  EXECUÇÃO FISICA ,  EXECUÇÃO FINANCEIRA ,  EXECUÇÃO ORÇAMENTARIA ,  OBJETO ,  COMPOSIÇÃO ,  RELAÇÃO ,  FINANÇAS ,  CONTRATO ,  CONCESSÃO ,  RODOVIA ,  ESTADO DO RIO GRANDE DO SUL (RS) ,  OSORIO (RS) ,  PORTO ALEGRE (RS) ,  VINCULAÇÃO ,  AGENCIA NACIONAL DE TRANSPORTES TERRESTRES (ANTT) .",Legislação,Federal,,"Fica desbloqueada a execução física, orçamentária e financeira do objeto listado neste decreto vinculado ao Programa de Trabalho 26.846.2126.00P5.0043/2016 - Recomposição do Equilíbrio Econômico - Financeiro do Contrato de Concessão da BR-290/RS - Osório Porto Alegre - Entroncamento BR-116/RS (entrada p/ Guaíba) - No Estado do Rio Grande do Sul, constante da Lei nº 14.535, de 17 de janeiro de 2023 (LOA 2023), vinculados à Unidade Orçamentária 39250 Agência Nacional de Transportes Terrestres -ANTT.",,,,,ANTT,2025-07-22 00:37:06,extração_principal,Legislação,rodoviário,Brasil,Federal,,jurisdicao_federal
ACÓRDÃO TCU 1316/2005,,2005-08-31,urn:lex:br:tribunal.contas.uniao;plenario:acordao:2005-08-31;1316,ANTT,,,Federal,,"Auditoria constante do plano TCU 2° semestre de 2002 (5° Estágio) para verificar a pertinência dos valores do pedágio na citada rodovia federal bem como a correção da execução contratual e manutenção do equilíbrio econômico-financeiro, ante as revisões e reajustes tarifários. Achados de auditoria envolvendo impropriedades na execução do contrato. Diligência junto aANTT. Envio de cópia do Relatório à CONCER e àANTT. Apresentação de alegações e envio de documentos. Determinações e recomendações àANTT. Ciência do Acórdão bem como do Relatório e Voto que o fundamentam ao Ministério dos Transportes, àANTTe à Concer. Arquivamento. O cumprimento das determinações será acompanhado mediante monitoramento (art. 243 do RI/TCU).",,,,,ANTT,2025-07-22 00:37:06,extração_principal,Jurisprudência,rodoviário,Brasil,Federal,,jurisdicao_federal
