Search_term,Date_searched,Url,Title,Urn,Urn_type,Country,State,Municipality,Justice,Region,Court_class,Document_type_full,Enacting_date,Document_description,Document_summary
Diesel,2025-07-14,https://www.lexml.gov.br/urn/urn:lex:br:congresso.nacional:medida.provisoria;mpv:2018-08-01;847,MPV 847/2018,urn:lex:br:congresso.nacional:medida.provisoria;mpv:2018-08-01;847,legislation,br,,,Congresso Nacional,Federal,Legislativo Federal,Medida Provisória,2018-08-01 00:00:00,,"Dispõe sobre a concessão de subvenção econômica na comercialização de óleodieselrodoviário no território nacional, sob a forma de equalização de parte dos custos a que estão sujeitos os distribuidores de óleodiesel, nas importações."
Diesel,2025-07-14,https://www.lexml.gov.br/urn/urn:lex:br:congresso.nacional:medida.provisoria;mpv:2018-05-30;838,MPV 838/2018,urn:lex:br:congresso.nacional:medida.provisoria;mpv:2018-05-30;838,legislation,br,,,Congresso Nacional,Federal,Legislativo Federal,Medida Provisória,2018-05-30 00:00:00,,"Dispõe sobre a concessão de subvenção econômica à comercialização de óleodiesel.

NOVA EMENTA: Dispõe sobre a concessão de subvenção econômica à comercialização de óleodiesele altera a Lei nº 9.478, de 6 de agosto de 1997."
Diesel,2025-07-14,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:1983;1000400336,A Substituição do oleodieselpelo alcool,,doutrina,br,,,"Senna, Milton Camara",,,Artigo de revista,1983,Classificação: DIREITO PÚBLICO - 341::DIREITO CONSTITUCIONAL - 341.2::Segurança nacional - 341.26,"Assuntos: Óleodiesel, custo. {Óleodiesel;Diesel} Álcool como combustível. {Álcool como combustível; Álcool motor; Energia de álcool}"
Diesel,2025-07-14,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:1981;1000395576,Mandado de segurança e substituição de motores a gasolina por outros a oleodiesel,,doutrina,br,,,"Zavataro, Elyseu",,,Artigo de revista,1981,Classificação: DIREITO PÚBLICO - 341::DIREITO ADMINISTRATIVO - 341.3::Poder de Polícia  - 341.37::Regulamentação do Tráfego e Trânsito. Código de Trânsito - 341.376,"Assuntos: Trânsito, legislação, Brasil, 1966. Mandado de segurança. {Mandado de segurança; Amparo (recurso)} Veículo automotor, Brasil. {Veículo automotor; Veículo a motor} Motordiesel."
Diesel,2025-07-14,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2020;1001176020,"Inadmissibilidade de anulação de multa ambiental aplicada por vazamento de óleodieselem águas fluviais e em área de preservação ambiental permanente, uma vez que os dispositivos de segurança eram ineficazes, sansão aplicada se mostrou razoável e proporcional ao fato",,doutrina,br,,,"Ayala, Patryck de Araújo",,,Artigo de revista,2020,Classificação: DIREITO PÚBLICO - 341::DIREITO ADMINISTRATIVO - 341.3::Domínio Público. Conceito. Domínio Eminente. Domínio Patrimonial - 341.34::Direito Ambiental - 341.347::Crimes ambientais e respectivo processo - 341.3474,"Resumo:Jurisprudência comentada do Agravo Interno no Agravo em Recurso Especial 1.458.422/SP. | Assuntos: Crime ambiental, jurisprudência, Brasil. Área de preservação permanente APP, jurisprudência, Brasil. {Área de preservação permanente (APP); APP} Direito ambiental, jurisprudência, Brasil. {Direito ambiental; Direito ecológico} Óleodiesel, aspectos ambientais, jurisprudência, Brasil. {Óleodiesel;Diesel} Água fluvial, aspectos ambientais, jurisprudência, Brasil. Conservação da natureza, jurisprudência, Brasil. {Conservação da natureza; Conservação ambiental; Conservação do meio ambiente; Meio ambiente, conservação; Natureza, conservação; Preservação da natureza}"
Diesel,2025-07-14,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2018;1001147610,"Uma análise dogmática do decreto 9.101/2017 (aumenta a alíquota do PIS/Cofins incidente sobre a gasolina, gás ediesel)",,doutrina,br,,,"Nelson, Rocco Antonio Rangel Rosso",,,Artigo de revista,2018,Classificação: DIREITO PÚBLICO - 341::DIREITO ADMINISTRATIVO - 341.3::Direito Tributário - 341.39,"Assuntos: Álcool como combustível, impostos, Brasil. {Álcool como combustível; Álcool motor; Energia de álcool} Gás liquefeito de petróleo GLP, impostos, Brasil. {Gás liquefeito de petróleo (GLP); Gás de cozinha} Gasolina, impostos, Brasil. Óleodieselcomo combustível, impostos, Brasil. Princípio constitucional, Brasil. Querosene, impostos, Brasil. Alíquota, redução, Brasil."
Diesel,2025-07-14,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo:estadual:decreto:1981-09-30;17758,"Decreto nº 17.758, de 30/09/1981",urn:lex:br;sao.paulo:estadual:decreto:1981-09-30;17758,legislation,br,São Paulo,,Estadual,,Outros,Decreto,1981-09-30 00:00:00,,"Institui o Programa de Substituição do ÓleoDiesel- Pró-Diesel | Assuntos: Combustível  ,Diesel"
Diesel,2025-07-14,https://www.lexml.gov.br/urn/urn:lex:br:agencia.nacional.energia.eletrica:resolucao.autorizativa:2011-06-09;2927,"RESOLUÇÃO AUTORIZATIVA nº 2927, de 09/06/2011",urn:lex:br:agencia.nacional.energia.eletrica:resolucao.autorizativa:2011-06-09;2927,other,br,,,Agência Nacional de Energia Elétrica,Federal,Outros,,2011-06-09 00:00:00,,"Registra duas unidades geradoras de contingência da Usina Termelétrica Elekeiroz, ambas utilizam óleodieselcomo combustível, as quais não integram a capacidade instalada do empreendimento. | Assuntos: Registro. Unidade Geradora. Contingenciamento. UTE Elekeiroz. Elekeiroz S.A. Várzea Paulista (SP). Potência Instalada. {ÓleoDiesel,Diesel} | Registro. Unidade Geradora. Contingenciamento. UTE Elekeiroz. Elekeiroz S.A. Várzea Paulista (SP). Potência Instalada. {ÓleoDiesel,Diesel}"
Diesel,2025-07-14,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:1991;1000463890,"Imposto sobre vendas a varejo de combustíveis líquidos e gasosos, exceto óleodiesel",,doutrina,br,,,"Silva, Edgard Neves da",,,Artigo de revista,1991,Classificação: DIREITO PÚBLICO - 341::DIREITO ADMINISTRATIVO - 341.3::Direito Tributário - 341.39::Impostos - 341.396::Impostos especiais. Impostos únicos - 341.3964::Imposto único sobre combustíveis e lubrificantes - 341.39641,Assuntos: Bitributação. {Bitributação; Dupla tributação} Combustível gasoso. Combustível líquido.
Diesel,2025-07-14,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2004;1000711245,Toxicologia das Emissões Veiculares deDiesel: Um Problema de Saúde Ocupacional e Pública,,doutrina,br,,,"Guimarães, João Roberto Penna de Freitas",,,Artigo de revista,2004,Classificação: DIREITO PRIVADO - 342::DIREITO DO TRABALHO - 342.6::Acidentes do Trabalho - 342.61::Medidas preventivas dos acidentes de trabalho. Higiene e segurança do trabalho - 342.617,"Assuntos: Toxicologia, Brasil. {Toxicologia; Tóxico,, estudo} Saúde do trabalhador, Brasil. Combustível líquido, Brasil. Produto químico, Brasil."
