titulo,tipo,data,urn,autor,assuntos,classificacao,jurisdicao,autoridade,ementa,url,localidade,numero,ano,termo_busca,data_coleta,origem,categoria,modal,pais,estado,municipio,fontes_localizacao,_source_file,_extracted_category,_extracted_transport_mode,_deduplication_source,_original_count,_merged_categories,_merged_transport
Acórdão nº 274986 do Processo nº20050110105950apc,,2007-05-30,urn:lex:br;distrito.federal:tribunal.justica.distrito.federal.territorios;turma.civel.6:acordao:2007-05-30;274986,,"MANUTENÇÃO, MULTA ADMINISTRATIVA, SUPERMERCADO, PRODUTO, INEXISTÊNCIA, PRAZO, VALIDADE, CARACTERIZAÇÃO, VIOLAÇÃO, SAÚDE PÚBLICA; MANUTENÇÃO, VALOR, MULTA, OCORRÊNCIA, REINCIDÊNCIA, RÉU, OBSERVÂNCIA, POTENCIALIDADE LESIVA, CONDUTA. VOTO VENCIDO: PROCEDÊNCIA, REDUÇÃO, VALOR, MULTA, OBSERVÂNCIA, EXCESSO.",,Federal,,"APELAÇÃO CÍVEL. AÇÃO ANULATÓRIA. AUTO DE INFRAÇÃO SANITÁRIA.ARMAZENAGEME USO DE PRODUTO IMPRÓPRIO PARA CONSUMO. REDUÇÃO DE MULTA ADMINISTRATIVA. POSSIBILIDADE DE ADEQUAÇÃO PELO JUDICIÁRIO. REITERAÇÃO DE CONDUTA LESIVA À SAÚDE PÚBLICA. MANUTENÇÃO DO QUANTITATIVO ESTABELECIDO PELA ADMINISTRAÇÃO. - O ARMAZENAMENTO E USO DE PRODUTO SEM A APRESENTAÇÃO DO PRAZO DE VALIDADE CONFIGURA A INFRAÇÃO SANITÁRIA PREVISTA NO ART. 10º DA LEI 6.437/77. - A MULTA ADMINISTRATIVA PODE SER AJUSTADA PELO PODER JUDICIÁRIO, DESDE QUE CONSTATADA EXORBITÂNCIA NO ATO DE APLICAÇÃO DA SANÇÃO. - A REITERAÇÃO DA CONDUTA LESIVA AO CONSUMIDOR AUTORIZA A FIXAÇÃO DA MULTA EM PATAMAR SUPERIOR AO MÍNIMO PREVISTO NA LEGISLAÇÃO DE REGÊNCIA. - A LEI 6.437/77, QUE TRATA DAS INFRAÇÕES SANITÁRIAS, TEM APLICAÇÃO NO ÂMBITO DO DISTRITO FEDERAL, QUE É COMPETENTE PARA APLICAR PUNIÇÃO ADMINISTRATIVA NA DEFESA DA SAÚDE PÚBLICA, MEDIANTE O EXERCÍCIO DO PODER DE POLÍCIA DA ADMINISTRAÇÃO. - RECURSO IMPROVIDO. MAIORIA.",,,,,armazenagem,2025-07-22 00:37:06,extração_principal,Jurisprudência,geral,Brasil,Federal,,jurisdicao_federal,lexml_dataset_limpo_classificado_20250722_102507_com_localizacao_cleaned.csv,Jurisprudência,geral,merged,2,,
"Decreto nº 3510, de 31 de Outubro de 1969",,1969-10-31,urn:lex:br;sao.paulo;campinas:municipal:decreto:1969-10-31;3510,,"ESTRADASANTA LUCIA, SANTA LUCIA, TERRENOS - DESAPROPRIACAO",,Municipal,,"DECLARA DE UTILIDADE PUBLICA E AUTORIZA A DESAPROPRIACAO DE AREA DE TERRENO, NECESSARIA AO DESVIO DA ATUALESTRADADE SANTA LUCIA.",,,,,estrada,2025-07-22 00:37:06,extração_principal,Legislação,rodoviário,Brasil,SP,,urn_estado_nome,lexml_dataset_limpo_classificado_20250722_102507_com_localizacao_cleaned.csv,Legislação,rodoviário,merged,2,,
"Lei Municipal nº 1.662, de 15 de março de 2016",,2016-03-15,urn:lex:br;rio.grande.sul;victor.graeff:municipal:lei:2016-03-15;1662,,,,Municipal,,"¿Autoriza o Poder Executivo Municipal a abrir Crédito Especial no valor de R$ 148.000,00 (cento e quarenta e oito mil reais), destinado a aquisição deMáquinase Equipamentos para PatrulhaAgrícolae dá outras providências¿.",,,,,máquinas agrícolas,2025-07-22 00:37:06,extração_principal,Legislação,geral,Brasil,,,,lexml_dataset_limpo_classificado_20250722_102507_com_localizacao_cleaned.csv,Legislação,geral,merged,2,,
"Lei Municipal nº 3.247, de 05 de abril de 2017",,2017-04-05,urn:lex:br;rio.grande.sul;feliz:municipal:lei:2017-04-05;3247,,,,Municipal,,Autoriza o Poder Executivo a permitir o uso das dependências do Parque Municipal para a empresaComercialdeVeículosHunoff Ltda ¿ Me.,,,,,veículos comerciais,2025-07-22 00:37:06,extração_principal,Legislação,geral,Brasil,,,,lexml_dataset_limpo_classificado_20250722_102507_com_localizacao_cleaned.csv,Legislação,geral,merged,2,,
"Lei nº 16.249, de 21/06/2016",,2016-06-21,urn:lex:br;sao.paulo:estadual:lei:2016-06-21;16249,,"Denominação , Dispositivo Rodoviário ,Rodoviados Tamoios - SP 099 , Paraibuna (Município)",,State,,Dá denominação ao dispositivo rodoviário que especifica,,,,,rodovia,2025-07-22 00:37:06,extração_principal,Legislação,rodoviário,Brasil,SP,,urn_estado_nome,lexml_dataset_limpo_classificado_20250722_102507_com_localizacao_cleaned.csv,Legislação,rodoviário,merged,2,,
Acórdão nº 365511 do Processo nº20070110142839apc,,2009-07-01,urn:lex:br;distrito.federal:tribunal.justica.distrito.federal.territorios;turma.civel.2:acordao:2009-07-01;365511,,"CONFIRMAÇÃO, CONDENAÇÃO, PAGAMENTO, INDENIZAÇÃO, DANO MORAL, DANO MATERIAL,ACIDENTEDETRÂNSITO, OCORRÊNCIA, DANO FÍSICO, AGRAVADO, EXISTÊNCIA, NEXO DE CAUSALIDADE, CONDUTA, RECORRENTE,ACIDENTE, OCORRÊNCIA, PREJUÍZO, OFENSA À HONRA, AUTOR, CARACTERIZAÇÃO, RESPONSABILIDADE CIVIL, NECESSIDADE, REPARAÇÃO DO DANO.",,Federal,,"CIVIL E PROCESSUAL CIVIL. INDENIZAÇÃO POR DANOS MATERIAIS E MORAIS.ACIDENTEDETRÂNSITO. PRESSUPOSTOS DO ATO ILÍCITO CONFIGURADOS. DEVER DE INDENIZAR. 1. UMA VEZ DEMONSTRADOS OS REQUISITOS NECESSÁRIOS À CONFIGURAÇÃO DA RESPONSABILIDADE CIVIL, QUAIS SEJAM, O DANO, A CONDUTA CULPOSA DO AGENTE E O NEXO CAUSAL, CORRETA A SENTENÇA QUE CONDENOU O RÉU A REPARAR OS DANOS MATERIAIS E MORAIS SOFRIDOS PELA AUTORA. 2. RECURSO CONHECIDO E IMPROVIDO.",,,,,acidente de trânsito,2025-07-22 00:37:06,extração_principal,Jurisprudência,rodoviário,Brasil,Federal,,jurisdicao_federal,lexml_dataset_limpo_classificado_20250722_102507_com_localizacao_cleaned.csv,Jurisprudência,rodoviário,merged,2,,
"Decreto nº 42920, de 12 de janeiro de 2022",,2022-01-12,urn:lex:br;distrito.federal:distrital:decreto:2022-01-12;42920,,"IMPOSTO SOBRE OPERAÇÕES RELATIVAS À CIRCULAÇÃODEMERCADORIASE SOBRE PRESTAÇÕESDESERVIÇOSDETRANSPORTEINTERESTADUAL E INTERMUNICIPAL E DE COMUNICAÇÃO (ICMS), regulamentação, alteração.",,Distrital,,"Altera o Decreto nº 18.955, de 22 de dezembro de 1997, que regulamenta o Imposto sobre Operações Relativas à CirculaçãodeMercadoriase sobre PrestaçõesdeServiçosdeTransporteInterestadual e Intermunicipal e de Comunicação - ICMS.",,,,,transporte de mercadorias,2025-07-22 00:37:06,extração_principal,Legislação,geral,Brasil,DF,Brasília,jurisdicao_distrital;df_brasilia,lexml_dataset_limpo_classificado_20250722_102507_com_localizacao_cleaned.csv,Legislação,geral,merged,2,,
Acórdão nº 114545 do Processo nºmsg769997,,1999-02-09,urn:lex:br;distrito.federal:tribunal.justica.distrito.federal.territorios;conselho.especial:acordao:1999-02-09;114545,,"CONCESSÃO, MANDADO DE SEGURANÇA,CONVERSÃO, PERCENTUAL, FÉRIAS, ABONO PECUNIÁRIO, REQUISIÇÃO, ANTERIORIDADE, MEDIDA PROVISÓRIA, REQUISITO. VOTO VENCIDO: CASSAÇÃO, LIMINAR, IMPOSSIBILIDADE JURÍDICA DO PEDIDO.",,Federal,,"FÉRIAS.CONVERSÃODE TERÇA PARTE EM ABONO PECUNIÁRIO. DIREITO ADQUIRIDO POSSUI O SERVIDOR QUE, ANTES DA DATA DE VIGÊNCIA DA MP N.º 1.195/95, QUE REVOGOU O ART. 78 DA LEI N.º 8.112/90, HAVIA REQUERIDO ACONVERSÃODO TERÇO DE FÉRIAS EM ABONO PECUNIÁRIO, DESDE QUE TIVESSE ATENDIDO O ÚNICO REQUISITO EXIGIDO EM LEI, QUAL FOSSE, HAVER REQUERIDO A VANTAGEM COM A ANTECEDÊNCIA MÍNIMA DE 60 DIAS.",,,,,conversão,2025-07-22 00:37:06,extração_principal,Jurisprudência,rodoviário,Brasil,Federal,,jurisdicao_federal,lexml_dataset_limpo_classificado_20250722_102507_com_localizacao_cleaned.csv,Jurisprudência,rodoviário,merged,2,,
Acórdão PJe TRT 3ª / Primeira Turma / 2021-09-27,,2021-09-27,urn:lex:br;justica.trabalho;regiao.3:tribunal.regional.trabalho;turma.1:acordao:2021-09-27;0010423-77.2020.5.03.0044,,,,Federal,,"ADICIONAL DE INSALUBRIDADE. HIGIENIZAÇÃO DE SANITÁRIOS DE USO PÚBLICO OU COLETIVO DE GRANDE CIRCULAÇÃO.COLETADE LIXO. SÚMULA 448, II, DO TST. O empregado que executa a limpeza e recolhe lixo de sanitários de uso coletivo, com grande número de usuários, faz jus ao adicional de insalubridade no grau máximo, conforme item II da Súmula 448 do TST, segundo o qual a """"higienização de instalações sanitárias de uso público ou coletivo de grande circulação, e a respectivacoletade lixo, por não se equiparar à limpeza em residências e escritórios, enseja o pagamento de adicional de insalubridade em grau máximo, incidindo o disposto no Anexo 14 da NR-15 da Portaria do MTE nº 3.214/78 quanto àcoletae industrialização de lixo urbano"""".",,,,,coleta,2025-07-22 00:37:06,extração_principal,Jurisprudência,geral,Brasil,Federal,,urn_tribunal,lexml_dataset_limpo_classificado_20250722_102507_com_localizacao_cleaned.csv,Jurisprudência,geral,merged,2,,
EDcl no AgRg no Ag 656869 / SC,,2006-03-14,urn:lex:br:superior.tribunal.justica;turma.1:acordao;ag:2006-03-14;656869-674343,,,,Federal,,"PROCESSUAL CIVIL. EMBARGOS DE DECLARAÇÃO. ERRO MATERIAL. OCORRÊNCIA CONFIGURADA. AGRAVO DE INSTRUMENTO. ART. 544 DO CPC. RECURSO ESPECIAL.TRIBUTÁRIO. PIS E COFINS. PRINCÍPIO DA LEGALIDADE. ART. 97 DO CTN. MATÉRIA CONSTITUCIONAL. INCIDÊNCIA SOBRE RECEITAS TRANSFERIDAS PARA OUTRAS PESSOAS JURÍDICAS. LEI 9.718/91, ART. 3º, § 2º, III. NORMA DE EFICÁCIA LIMITADA. AUSÊNCIA DE REGULAMENTAÇÃO. 1. Os embargos de declaração são cabíveis quando houver no acórdão ou sentença, omissão, contradição ou obscuridade, nos termos do art. 535, I e II, do CPC, ou para sanar erro material. 2. In casu, o julgado incorreu em erro material, porquanto tratou acerca da inconstitucionalidade dos arts. 2º e 3º da Lei nº 9.718/98, relativos à ampliação da base de cálculo da COFINS e da contribuição ao PIS, ao passo que, de uma análise mais detida, verifica-se que nos autos discute-se a aplicabilidade do disposto no art. 3º, § 2º, inciso III, da Lei 9.718/98. 3. A apreciação da violação do princípio da legalidade (art. 97 do CTN) esbarra em matéria constitucional, o que não se coaduna com a competência desta Corte. 4. É de sabença que na dicotomia das normas jurídico-tributárias, há as cognominadas leis de eficácia limitada ou condicionada. Consoante a doutrina do tema, """"as normas de eficácia limitada são de aplicabilidade indireta, mediata e reduzida, porque somente incidem totalmente sobre esses interesses após uma normatividade ulterior que lhes desenvolva a eficácia."""". Isto porque, """"não revestem dos meios de ação essenciais ao seu exercício os direitos, que outorgam, ou os encargos, que impõem: estabelecem competências, atribuições, poderes, cujo uso tem de aguardar que a Legislatura, segundo o seu critério, os habilite a se exercerem"""". 5. A lei 9.718/91, art. 3º, § 2º, III, optou por delegar ao Poder Executivo a missão de regulamentar a aplicabilidade desta norma. Destarte, o Poder Executivo, competente para a expedição do respectivo decreto, quedou-se inerte, sendo certo que, exercendo sua atividade legislativa constitucional, houve por bem retirar a referida disposição do universo jurídico, através da Medida Provisória 1991-18/2000, numa manifestação inequívoca de aferição de sua inconveniênciatributária. 6. Conquanto o art. 3º, § 2º, III, da Lei supracitada tenha ostentado vigência, careceu de eficácia, ante a ausência de sua imprescindível regulamentação. Assim, é cediço na Turma que """"se o comando legal inserto no artigo 3º, § 2º, III, da Lei n.º 9718/98 previa que a exclusão de créditotributárioali prevista dependia de normas regulamentares a serem expedidas pelo Executivo, é certo que, embora vigente, não teve eficácia no mundo jurídico, já que não editado o decreto regulamentador, a citada norma foi expressamente revogada com a edição de MP 1991-18/2000"""". 7. Deveras, é lícito ao legislador, ao outorgar qualquerbenefíciotributário, condicionar o seu gozo. Tendo o legislador optado por delegar ao Poder Executivo a tarefa de estabelecer os contornos da isenção concedida, também essa decisão encontra amparo na sua autonomia legislativa. 8. Conseqüentemente, """"não comete violação ao artigo 97, IV, do CódigoTributárioNacional o decisório que em decorrência deste fato, não reconhece o direito de o recorrente proceder à compensação dos valores que entende ter pago a mais a título de contribuição para o PIS e a COFINS. """"In casu"""", o legislador não pretendeu a aplicação imediata e genérica da lei, sem que lhe fossem dados outros contornos como pretende a recorrente, caso contrário, não teria limitado seu poder de abrangência."""" 9. Precedentes jurisprudenciais: REsp 445.452/RS, Rel. Min. José Delgado, DJ de 10.03.2003; AgRg no AG 625.268/RS, desta relatoria, DJ 27.06.2005; AgRg no AG 656.872/RS, Rel. Min. Castro Meira, DJ 23.05.2005. 10. Embargos de Declaração acolhidos. Agravo de Instrumento a que se nega provimento. Decisão Vistos, relatados e discutidos estes autos, acordam os Ministros da PRIMEIRA TURMA do Superior Tribunal de Justiça, na conformidade dos votos e das notas taquigráficas a seguir, por unanimidade, acolher os embargos de declaração para, na seqüência, negar provimento ao agravo de instrumento, nos termos do voto do Sr. Ministro Relator. Os Srs. Ministros Teori Albino Zavascki, Denise Arruda e José Delgado votaram com o Sr. Ministro Relator. Ausente, ocasionalmente, o Sr. Ministro Francisco Falcão.",,,,,benefício tributário,2025-07-22 00:37:06,extração_principal,Outros,geral,Brasil,Federal,,jurisdicao_federal,lexml_dataset_limpo_classificado_20250722_102507_com_localizacao_cleaned.csv,Outros,geral,merged,2,,
