search_term,date_searched,url,title,urn,urn_type,country,state,municipality,justice,region,court_class,document_type_full,promulgation_date,document_description
transporte de carga,2025-06-06 12:27:31,https://www.lexml.gov.br/urn/urn:lex:br:congresso.nacional:medida.provisoria;mpv:2018-05-27;833,MPV 833/2018,urn:lex:br:congresso.nacional:medida.provisoria;mpv:2018-05-27;833,legislation,Brasil,,,,,,Medida Provisória (MPV) Federal 833,27-05-2018,"Medida Provisória (MPV) Federal 833, promulgada em 27-05-2018, Brasil"
transporte de carga,2025-06-06 12:27:31,https://www.lexml.gov.br/urn/urn:lex:br:congresso.nacional:medida.provisoria;mpv:2018-05-27;832,MPV 832/2018,urn:lex:br:congresso.nacional:medida.provisoria;mpv:2018-05-27;832,legislation,Brasil,,,,,,Medida Provisória (MPV) Federal 832,27-05-2018,"Medida Provisória (MPV) Federal 832, promulgada em 27-05-2018, Brasil"
transporte rodoviário de carga,2025-06-06 12:27:34,https://www.lexml.gov.br/urn/urn:lex:br:federal:decreto:1976-06-09;77789,"Decreto nº 77.789, de 9 de Junho de 1976",urn:lex:br:federal:decreto:1976-06-09;77789,legislation,Brasil,,,,,,Decreto Federal 77789,09-06-1976,"Decreto Federal 77789, promulgada em 09-06-1976, Brasil"
transporte rodoviário de carga,2025-06-06 12:27:34,https://www.lexml.gov.br/urn/urn:lex:br:federal:decreto:1983-10-06;88821,"Decreto nº 88.821, de 6 de Outubro de 1983",urn:lex:br:federal:decreto:1983-10-06;88821,legislation,Brasil,,,,,,Decreto Federal 88821,06-10-1983,"Decreto Federal 88821, promulgada em 06-10-1983, Brasil"
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;itabirito:municipal:lei:2008-12-05;2708,"Lei n° 2708, de 05 de Dezembro de 2008",urn:lex:br;minas.gerais;itabirito:municipal:lei:2008-12-05;2708,legislation,Brasil,Minas Gerais,Itabirito,,,,Lei Municipal 2708,05-12-2008,"Lei Municipal 2708, promulgada em 05-12-2008, Município de Itabirito, Estado de Minas Gerais, Brasil"
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo:estadual:decreto:2014-05-26;60491,"Decreto nº 60.491, de 26/05/2014",urn:lex:br;sao.paulo:estadual:decreto:2014-05-26;60491,legislation,Brasil,São Paulo,,,,,Decreto Estadual 60491,26-05-2014,"Decreto Estadual 60491, promulgada em 26-05-2014, Estado de São Paulo, Brasil"
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;justica.trabalho;regiao.16:tribunal.regional.trabalho;turma.1:acordao:2010-02-03;0038500-46.2008.5.16.0015,ACORDÃO TRT 16ª / 1ª Turma / RO 0038500-46.2008.5.16.0015,urn:lex:br;justica.trabalho;regiao.16:tribunal.regional.trabalho;turma.1:acordao:2010-02-03;0038500-46.2008.5.16.0015,jurisprudence,Brasil,,,Justiça do Trabalho,16ª região,"Tribunal Regional do Trabalho, 1ª turma",Acórdão número 0038500-46.2008.5.16.0015,03-02-2010,"Acórdão número 0038500-46.2008.5.16.0015, publicado em 03-02-2010, Tribunal Regional do Trabalho, 1ª turma, da 16ª região, Justiça do Trabalho"
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2013;1001010435,A navegação de cabotagem no Brasil,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2013;1001010435,legislation,Brasil,,,,,,Artigo.Revista Rede.Virtual.Bibliotecas 1001010435,2013,"Artigo.Revista Rede.Virtual.Bibliotecas 1001010435, promulgada em 2013, Brasil"
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;justica.trabalho;regiao.1:tribunal.regional.trabalho;turma.6:acordao:2015-11-19;00008058020145010301,ACÓRDÃO TRT 1ª / 6ª Turma / 0000805-80.2014.5.01.0301 - DOERJ 19-11-2015,urn:lex:br;justica.trabalho;regiao.1:tribunal.regional.trabalho;turma.6:acordao:2015-11-19;00008058020145010301,jurisprudence,Brasil,,,Justiça do Trabalho,1ª região,"Tribunal Regional do Trabalho, 6ª turma",Acórdão número 00008058020145010301,19-11-2015,"Acórdão número 00008058020145010301, publicado em 19-11-2015, Tribunal Regional do Trabalho, 6ª turma, da 1ª região, Justiça do Trabalho"
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;rio.grande.sul;bento.goncalves:camara.municipal:resolucao:2015-10-28;166,"RESOLUÇÃO n° 166, de 28 de Outubro de 2015",urn:lex:br;rio.grande.sul;bento.goncalves:camara.municipal:resolucao:2015-10-28;166,legislation,Brasil,Rio.Grande.Sul,Bento Goncalves,,,,Resolução Camara.Municipal 166,28-10-2015,"Resolução Camara.Municipal 166, promulgada em 28-10-2015, Município de Bento Goncalves, Estado de Rio.Grande.Sul, Brasil"
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;rio.grande.sul;vespasiano.correa:municipal:lei:2011-04-04;15,"Lei Municipal nº 15, de 04 de abril de 2011",urn:lex:br;rio.grande.sul;vespasiano.correa:municipal:lei:2011-04-04;15,legislation,Brasil,Rio.Grande.Sul,Vespasiano Correa,,,,Lei Municipal 15,04-04-2011,"Lei Municipal 15, promulgada em 04-04-2011, Município de Vespasiano Correa, Estado de Rio.Grande.Sul, Brasil"
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;rio.grande.sul;vespasiano.correa:municipal:lei:2019-12-24;1513,"Lei Municipal nº 1.513, de 24 de dezembro de 2019",urn:lex:br;rio.grande.sul;vespasiano.correa:municipal:lei:2019-12-24;1513,legislation,Brasil,Rio.Grande.Sul,Vespasiano Correa,,,,Lei Municipal 1513,24-12-2019,"Lei Municipal 1513, promulgada em 24-12-2019, Município de Vespasiano Correa, Estado de Rio.Grande.Sul, Brasil"
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;distrito.federal:distrital:lei:2003-05-06;3152,"Lei nº 3152, de 06 de maio de 2003",urn:lex:br;distrito.federal:distrital:lei:2003-05-06;3152,legislation,Brasil,Distrito Federal,,,,,Lei Distrital 3152,06-05-2003,"Lei Distrital 3152, promulgada em 06-05-2003, Estado de Distrito Federal, Brasil"
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br:tribunal.superior.trabalho;turma.1:acordao;airr:2013-04-17;340-2010-130-15-0,Acórdão do processo Nº AIRR - 340-51.2010.5.15.0130,urn:lex:br:tribunal.superior.trabalho;turma.1:acordao;airr:2013-04-17;340-2010-130-15-0,jurisprudence,Brasil,,,,,"Tribunal Superior do Trabalho, 1ª turma",Acórdão (AIRR) número 340-2010-130-15-0,17-04-2013,"Acórdão (AIRR) número 340-2010-130-15-0, publicado em 17-04-2013, Tribunal Superior do Trabalho, 1ª turma"
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo:estadual:lei:2022-12-19;17612,"Lei nº 17.612, de 19/12/2022",urn:lex:br;sao.paulo:estadual:lei:2022-12-19;17612,legislation,Brasil,São Paulo,,,,,Lei Estadual 17612,19-12-2022,"Lei Estadual 17612, promulgada em 19-12-2022, Estado de São Paulo, Brasil"
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br:tribunal.superior.trabalho;turma.6:acordao;rr:2020-10-14;1001874-2018-271-2-0,Acórdão do processo Nº RR - 1001874-57.2018.5.02.0271,urn:lex:br:tribunal.superior.trabalho;turma.6:acordao;rr:2020-10-14;1001874-2018-271-2-0,jurisprudence,Brasil,,,,,"Tribunal Superior do Trabalho, 6ª turma",Acórdão (RR) número 1001874-2018-271-2-0,14-10-2020,"Acórdão (RR) número 1001874-2018-271-2-0, publicado em 14-10-2020, Tribunal Superior do Trabalho, 6ª turma"
